,原保险保费收入,原保险保费收入_财产险,原保险保费收入_人身险,原保险保费收入_人身险_寿险,原保险保费收入_人身险_健康险,原保险保费收入_人身险_人身意外伤害险,原保险赔付支出,原保险赔付支出_财产险,原保险赔付支出_人身险,原保险赔付支出_人身险_寿险,原保险赔付支出_人身险_健康险,原保险赔付支出_人身险_人身意外伤害险,业务及管理费,银行存款,投资,资产总额,date
81,18858730.299999982,8463206.5,10395523.800000012,8038787.200000003,1908694.5999999978,448042.0999999996,9513647.900000006,5694717.5,3818930.3999999985,2577341.200000003,1060186.1000000006,181403.1000000001,4558762.699999999,-9393464.800000012,41970327.899999976,28035169.0,2015-12-01
82,63767336.4,9259091.1,54508245.3,49544549.5,4269825.9,693869.9,10126328.2,3871774.2,6254553.9,5156649.9,942187.6,155716.5,2830623.2,250411989.6,885453963.5,1262771981.0,2016-01-01
83,26907449.1,4777245.700000001,22130203.400000006,18462939.299999997,3246279.3,420984.9,8861305.900000002,2856808.3,6004497.699999999,5341263.299999999,551393.6,111840.70000000001,2593486.3,-3121532.199999988,21644661.5,29848813.0,2016-02-01
84,29116421.700000003,7507700.8999999985,21608720.799999997,16585341.0,4171294.2,852085.5,9925664.7,4030919.4000000004,5894745.299999999,4939119.6000000015,780761.5999999999,174864.09999999998,2959059.7,17811996.199999988,27226292.600000024,92732626.0,2016-03-01
85,21009998.799999997,7306736.5,13703262.299999997,9290390.600000009,3733711.299999999,679160.4000000001,7861143.999999996,3574908.5,4286235.5,3471693.5999999978,686486.5,128055.39999999997,3131078.1000000006,-42465846.29999998,40183417.399999976,-5342449.0,2016-04-01
86,20400558.199999988,6584304.099999998,13816254.100000009,9525072.299999997,3718505.4000000022,572676.5,7749586.8000000045,3650460.999999998,4099125.9000000022,3265221.8000000007,694057.0,139847.20000000007,2824369.0,-952745.2000000179,14900831.299999952,17679057.0,2016-05-01
87,26926402.300000012,7584581.700000003,19341820.599999994,14201956.599999994,4453708.5,686155.3999999999,8099666.3999999985,3670638.1000000015,4429028.099999998,3568793.1999999993,720704.4000000004,139530.5,3349285.5,14368450.099999994,30831513.700000048,28917521.0,2016-06-01
88,20176521.099999994,6772003.8999999985,13404517.199999988,9003526.0,3845594.5,555396.6999999997,7943028.1000000015,3723732.3000000007,4219295.8999999985,3292282.9000000022,783679.3999999994,143333.5,2819896.0,-18304345.599999994,18394144.0,5986181.0,2016-07-01
89,21284685.599999994,6559185.0,14725500.600000024,10600789.100000009,3543386.0,581325.5,8444707.100000001,3992036.8999999985,4452670.200000003,3392224.5,893830.6000000006,166614.99999999988,3007724.0999999978,7521574.400000006,9974938.0,15670192.0,2016-08-01
90,22093241.800000012,7354978.3999999985,14738263.399999976,10624169.099999994,3321763.799999997,792330.5,8495567.799999997,3844591.6000000015,4650976.1000000015,3678083.8000000007,818807.5999999996,154084.90000000014,3344203.8000000007,4344102.5,4638458.0,14926251.0,2016-09-01
91,18421137.100000024,6477993.299999997,11943143.800000012,9200973.400000006,2173341.3999999985,568829.0,7754670.900000006,3485374.9000000022,4269296.1999999955,3360228.0,762258.9000000004,146809.09999999986,3036528.1000000015,2728565.0,5520730.0,17076228.0,2016-10-01
92,18544959.0,7546723.200000003,10998235.800000012,8527110.199999988,1940549.700000003,530575.9000000004,9238524.299999997,4609980.799999997,4628543.400000006,3409648.8999999985,1073027.8999999994,145866.7000000002,3666420.9999999963,2881735.599999994,17898660.0,15819628.0,2016-11-01
